FEATURE_ID,FEATURE_NAME,FEATURE_CLASS,STATE_ALPHA,STATE_NUMERIC,COUNTY_NAME,COUNTY_NUMERIC,PRIMARY_LAT_DMS,PRIM_LONG_DMS,PRIM_LAT_DEC,PRIM_LONG_DEC,ELEV_IN_M,ELEV_IN_FT,DATE_CREATED,DATE_EDITED
1520980,Hot Lake,Lake,WA,53,Okanogan,047,485823N,1192836W,48.972978,-119.476693,585,1919,09/10/1979,05/06/2019
1520992,Howard A Hanson Reservoir,Reservoir,WA,53,King,033,471527N,1214440W,47.2575704,-121.7443908,349,1145,12/31/1992,05/15/2019
1520993,Howard Lake,Lake,WA,53,Yakima,077,462347N,1212222W,46.3963516,-121.372754,1492,4895,09/10/1979,03/14/2019
1520994,Howard Lake,Lake,WA,53,Snohomish,061,475059N,1212419W,47.8497848,-121.4053355,1375,4511,09/10/1979,05/21/2019
1521009,Hozomeen Lake,Lake,WA,53,Whatcom,073,485735N,1210212W,48.959829,-121.0365689,862,2828,09/10/1979,04/22/2019
1521013,Hubbard Lake,Lake,WA,53,Snohomish,061,480519N,1215535W,48.0887289,-121.9264876,175,574,09/10/1979,05/14/2019
1521048,Hughes Lake,Lake,WA,53,Snohomish,061,475758N,1215350W,47.9660923,-121.8973527,162,531,09/10/1979,05/21/2019
1521053,Hull Lake,Lake,WA,53,King,033,473956N,1214755W,47.6654552,-121.7986241,253,830,09/10/1979,05/14/2019
1521075,Hunsinger Lake,Lake,WA,53,Okanogan,047,482642N,1193605W,48.4449216,-119.6012594,773,2536,09/10/1979,05/08/2019
1521103,Hyak Lake,Lake,WA,53,Kittitas,037,472335N,1212519W,47.393117,-121.4220793,1069,3507,09/10/1979,03/19/2019
1521107,Hyas Lake,Lake,WA,53,Kittitas,037,473400N,1210714W,47.5666228,-121.1206268,1052,3451,09/10/1979,03/19/2019
1521108,Hyas Lake,Lake,WA,53,Kittitas,037,473428N,1210745W,47.5744987,-121.1292349,1058,3471,09/10/1979,03/19/2019
1521109,Hyas Lake,Lake,WA,53,Skagit,057,482154N,1212149W,48.3650247,-121.3634745,1325,4347,09/10/1979,05/14/2019
1521110,Hyatt Lake,Lake,WA,53,Stevens,065,483934N,1180117W,48.6593191,-118.0213988,789,2589,09/10/1979,06/26/2019
1521111,Hyde Lake,Lake,WA,53,King,033,471706N,1215618W,47.2849321,-121.9383676,243,797,09/10/1979,05/15/2019
1521115,Ice Lake,Lake,WA,53,King,033,472802N,1212905W,47.4670858,-121.4846593,1362,4468,09/10/1979,05/14/2019
1521116,Ice Lakes,Lake,WA,53,Chelan,007,480755N,1204745W,48.1318506,-120.7957025,2192,7192,09/10/1979,05/04/2019
1521119,Iceberg Lake,Lake,WA,53,Whatcom,073,485115N,1214304W,48.8540455,-121.7177874,1460,4790,09/10/1979,07/25/2019
1521120,Iceberg Lake,Lake,WA,53,Jefferson,031,474434N,1232140W,47.7427452,-123.3612083,1851,6073,09/10/1979,05/17/2019
1521121,Iceberg Lake,Lake,WA,53,King,033,473003N,1211822W,47.5008214,-121.3060733,1483,4865,09/10/1979,05/14/2019
1521132,Ida Lake,Lake,WA,53,Snohomish,061,480054N,1212235W,48.0150068,-121.3763288,1144,3753,09/10/1979,05/14/2019
1521133,Lake Ida,Lake,WA,53,Chelan,007,473808N,1205134W,47.635522,-120.8594197,2062,6765,09/10/1979,05/04/2019
